EK383,AP70,Emirates,BOEING,2005,50,CSIA,Expired,Available
EK777,AP51,Qatar,BOEING,2001,10,LOGAN,Not Expired,Not Available
EK420,AP12,Emirates,BOEING,2005,50,CSIA,Expired,Available
EK234,AP67,Luftansa,LookHeed Martin,2010,100,Heathrow,Not Expired,Available
EK762,AX01,Air Asia,BOEING,2007,43,IGIA,Not Expired,Not Available
GB456,HU51,Qatar,BOEING,2001,10,LOGAN,Not Expired,Not Available
AB879,KP51,Singapore Airlines,LookHeed,2016,23,CSIA,Not Expired,Available
LK777,MP52,Emirates,BOEING,2004,10,LOGAN,Expired,Available
EK756,YP51,Air India,BOEING,2005,56,LOGAN,Expired,Not Available
EK671,XY67,Delta,LookHeed,2001,10,LOGAN,Not Expired,Not Available
