Window,1A
Middle,1B
Aisle,1C
Aisle,1D
Middle,1E
Window,1F
Window,2A
Middle,2B
Aisle,2C
Aisle,2D
Middle,2E
Window,2F
Window,3A
Middle,3B
Aisle,3C
Aisle,3D
Middle,3E
Window,3F
Window,4A
Middle,4B
Aisle,4C
Aisle,4D
Middle,4E
Window,4F
Window,5A
Middle,5B
Aisle,5C
Aisle,5D
Middle,5E
Window,5F
Window,6A
Middle,6B
Aisle,6C
Aisle,6D
Middle,6E
Window,6F
Window,7A
Middle,7B
Aisle,7C
Aisle,7D
Middle,7E
Window,7F
Window,8A
Middle,8B
Aisle,8C
Aisle,8D
Middle,8E
Window,8F
Window,9A
Middle,9B
Aisle,9C
Aisle,9D
Middle,9E
Window,9F
Window,10A
Middle,10B
Aisle,10C
Aisle,10D
Middle,10E
Window,10F
Window,11A
Middle,11B
Aisle,11C
Aisle,11D
Middle,11E
Window,11F
Window,12A
Middle,12B
Aisle,12C
Aisle,12D
Middle,12E
Window,12F
Window,13A
Middle,13B
Aisle,13C
Aisle,13D
Middle,13E
Window,13F
Window,14A
Middle,14B
Aisle,14C
Aisle,14D
Middle,14E
Window,14F
Window,15A
Middle,15B
Aisle,15C
Aisle,15D
Middle,15E
Window,15F
Window,16A
Middle,16B
Aisle,16C
Aisle,16D
Middle,16E
Window,16F
Window,17A
Middle,17B
Aisle,17C
Aisle,17D
Middle,17E
Window,17F
Window,18A
Middle,18B
Aisle,18C
Aisle,18D
Middle,18E
Window,18F
Window,19A
Middle,19B
Aisle,19C
Aisle,19D
Middle,19E
Window,19F
Window,20A
Middle,20B
Aisle,20C
Aisle,20D
Middle,20E
Window,20F
Window,21A
Middle,21B
Aisle,21C
Aisle,21D
Middle,21E
Window,21F
Window,22A
Middle,22B
Aisle,22C
Aisle,22D
Middle,22E
Window,22F
Window,23A
Middle,23B
Aisle,23C
Aisle,23D
Middle,23E
Window,23F
Window,24A
Middle,24B
Aisle,24C
Aisle,24D
Middle,24E
Window,24F
Window,25A
Middle,25B
Aisle,25C
Aisle,25D
Middle,25E
Window,25F
